StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q23,Q24,Q25,Q26,Q27,Q28,Q29_1,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q30,Q31_NPS_GROUP,Q31,Q33_1,Q33_2,Q33_3,Q33_4,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q6,Q7,Q8,Q9,Q11,Q12,Q15,Q16,Q17,Q9 - Parent Topics,Q9 - Topics
2020-10-25 18:07:02,2020-10-25 18:21:47,IP Address,142.129.143.236,25,884,False,2020-11-01 17:21:50,R_1lp1k5iqRdqWfEl,,,,,,,anonymous,EN,Yes,Male,18-24,0 years,Undergraduate/Full Time,Computer Science,3,5,2,7,0,5,Yes,Promoter,10,,,,,"The overall security included some critical systems that appeared to be unstable. A few windows workstations were also on the network, and some web applications used for chatting and communicating.",81,41,100,83,50,100,,,,,,,,,,,,
2020-10-25 18:06:59,2020-10-25 18:33:37,IP Address,136.24.87.102,36,1597,False,2020-11-01 17:33:58,R_2pRV2u7gac3zYQz,,,,,,,anonymous,EN,Yes,Female,35-39,0 years,Non-matriculated,"I have a degree in CS, but am getting an Advanced Cybersecurity Certificate from CCSF",7,5,1,3,6,7,Yes,Promoter,9,,,,,This question is pretty vague...MantisBT was out of date and vulnerable to password reset and RCE.,100,100,100,86,100,86,"We first scanned and found the open port.  It being on a common web port we opened the application in the browser.  It was obvious what the software was, MantisBT, and we then went searching for potential vulnerabilities and found some.  We were then able to execute them and obtain RCE and a reverse shell.  We further explored how the application stores sensitive data and investigated the source code since it was open source, as well as potential updates and how this situation might apply to NERC/CIP standards.","Beyond viewing the application in the browser, it wasn't immediately apparent what the version was.  The CVEs we found were recent, and the exploit code we found had some code that tested for the vulnerabilities.","The aforementioned exploit, and then eventually accessing the database and cracking passwords.","Thinking about the practical ramifications of our actions, and what real world effects they might have on people or the infrastructure.",We chose the one we thought was harmless and would gain us the most information and optimize our penetration level,,,,,,,Unknown
2020-10-25 18:06:57,2020-10-25 18:36:51,IP Address,76.86.80.7,25,1793,False,2020-11-01 17:36:59,R_3khyXSTzodQFqId,,,,,,,anonymous,EN,Yes,Male,18-24,0 years,Undergraduate/Full Time,Computer Science with Business Applications,2,4,1,2,0,4,Yes,Promoter,10,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25 18:07:19,2020-10-25 18:39:00,IP Address,76.168.107.124,34,1901,False,2020-11-01 17:39:06,R_2VBGiOZtmB6QxGB,,,,,,,anonymous,EN,Yes,Male,18-24,0 years,Undergraduate/Part Time,Computer Information Systems,1,4,,3,0,7,Yes,Promoter,10,,,,,"Lack of authentication, poor password management, outdated legacy systems with terminally vulnerable software running",50,100,100,70,100,100,Outdated software was identified by the OS's that were running,Scans,Password attacks and exploiting known CVE's,"Scanning and enumeration to see what is available. ",,,,,,,,
2020-10-25 18:07:13,2020-10-25 18:44:39,IP Address,104.10.237.125,26,2246,False,2020-11-01 17:45:14,R_1i4iFcbcLELQwKE,,,,,,,anonymous,EN,Yes,Male,18-24,2 years,Undergraduate/Part Time,Business,3,4,2,3,6,4,Yes,Passive,8,,,,,Passwords being shared in rocketchat by employees,51,51,50,51,51,50,,,,,,,,,,,,
2020-11-08 14:36:22,2020-11-08 14:40:15,IP Address,71.207.15.189,100,232,True,2020-11-08 14:40:15,R_6Av2l5gqJ0cf13H,,,,,40.7957000732421875,-77.8618011474609375,anonymous,EN,Yes,Male,18-24,0 years,Undergraduate/Full Time,CS,5,7,0,0,2,,Yes,Passive,8,,,,,no,40,10,73,32,89,6,smh no comment,hmmm,nah,yeet,skirt,yuh,lil pump,pwn all the things,hack ur shit,No,,Unknown
2020-11-08 14:36:30,2020-11-08 14:40:15,IP Address,71.207.15.189,100,225,True,2020-11-08 14:40:16,R_1OHv1JVNfO4tfcL,,,,,40.7957000732421875,-77.8618011474609375,anonymous,EN,No,Other/Prefer not to answer,Other/Prefer not to answer,3+ years,Undergraduate/Full Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08 14:36:48,2020-11-08 14:40:15,IP Address,68.32.3.26,100,207,True,2020-11-08 14:40:16,R_UnjCibtS5GmDp3H,,,,,42.6013031005859375,-83.17800140380859375,anonymous,EN,Yes,Female,18-24,0 years,Undergraduate/Full Time,"Computer Science with Software Engineering ",,3,,5,0,7,Yes,Promoter,10,,,,,,32,99,82,76,84,100,,,,,,,,,,,,
2020-11-08 14:37:18,2020-11-08 14:41:36,IP Address,204.137.234.59,100,258,True,2020-11-08 14:41:37,R_10w36FvHAFPwxM7,,,,,45.0028076171875,-68.643096923828125,anonymous,EN,Yes,Male,18-24,0 years,Undergraduate/Part Time,Electrical Engineering and Math,4,3,2,6,0,3,Maybe,Promoter,10,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08 14:39:00,2020-11-08 14:44:01,IP Address,142.127.235.160,100,300,True,2020-11-08 14:44:01,R_Y3Q1hg1MnLnhdmx,,,,,43.676300048828125,-79.4850006103515625,anonymous,EN,Yes,Male,18-24,0 years,Undergraduate/Part Time,Comp sci,,,,0,,,No,Promoter,10,,,,,,,,0,,,,,,,,,,,,,,,
2020-11-08 14:37:27,2020-11-08 14:45:00,IP Address,99.232.136.111,100,453,True,2020-11-08 14:45:01,R_3iqayjDqEXapyNU,,,,,43.9228057861328125,-78.94120025634765625,anonymous,EN,Yes,Male,18-24,2 years,Undergraduate/Full Time,Networking,5,6,2,7,4,7,Yes,Promoter,10,,,,,The windows machines and a remote desktop connection attack.,80,100,71,100,54,100,Attempting an known exploit on the scanned target,Is fingerprinted and known port use,Passwords and usernames harvested from another server,,Seemed like an opportunity to use another attack tyoe,,,,,No,,Unknown
